qa_order,ui_areas,symbol,source_text,target_text_th,constraint_profile,qa_route,rendering_result,translation_result,visual_status,evidence_note
1,START_SAVE,gText_AlreadySavedFile,"There is already a saved file.
Is it okay to overwrite it?","มีไฟล์บันทึกอยู่แล้ว
ต้องการเขียนทับหรือไม่?",STANDARD_MESSAGE_BOX,Trigger each prompt and inspect every page.,,,pending,
2,MAIN_MENU,gText_BatteryRunDry,"The internal battery has run dry.
The game can be played.\pHowever, clock-based events will
no longer occur.","แบตเตอรี่ภายในหมดแล้ว
ยังสามารถเล่นเกมได้\pแต่กิจกรรมที่อิงเวลา
จะไม่เกิดขึ้นอีก",MAIN_MENU_ERROR,"Trigger save corruption, battery, wireless, and Mystery feature errors.",,,pending,
3,START_SAVE,gText_BattlePyramidConfirmRest,"Your BATTLE PYRAMID quest will be
saved so that you may quit for now.\lIs that okay?","จะบันทึกภารกิจใน
แบตเทิลพีระมิดไว้\lแล้วออกชั่วคราว ตกลงหรือไม่?",STANDARD_MESSAGE_BOX,Trigger each prompt and inspect every page.,,,pending,
4,START_SAVE,gText_BattlePyramidConfirmRetire,"Are you sure you want to quit your
PYRAMID quest?","ต้องการยุติภารกิจ
แบตเทิลพีระมิดหรือไม่?",STANDARD_MESSAGE_BOX,Trigger each prompt and inspect every page.,,,pending,
5,START_SAVE,gText_BattlePyramidFloor,"Battle Pyramid
{STR_VAR_1}","แบตเทิลพีระมิด
{STR_VAR_1}",PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
6,MAIN_MENU,gText_Birch_BoyOrGirl,"Are you a boy?
Or are you a girl?","เธอเป็นเด็กชาย?
หรือเป็นเด็กหญิง?",BIRCH_MESSAGE_BOX,Start New Game and inspect the question before the gender-selection menu.,pass,pass,proof_passed,"User-confirmed runtime screenshot: both Thai lines display correctly before the gender-selection menu, with no clipping, overflow, overlapping marks, or broken glyphs."
7,MAIN_MENU,gText_BoxName,BOX NAME?,ชื่อ BOX?,NAMING_TITLE,"Open player, Pokémon, Box, and Walda naming screens.",,,pending,
8,START_SAVE,gText_ConfirmSave,Would you like to save the game?,ต้องการบันทึกเกมหรือไม่?,STANDARD_MESSAGE_BOX,Trigger each prompt and inspect every page.,,,pending,
9,START_SAVE,gText_DifferentSaveFile,"WARNING!\pThere is a different game file that
is already saved.\pIf you save now, the other file's
adventure, including items and\lPOKéMON, will be entirely lost.\pAre you sure you want to save now
and overwrite the other save file?","คำเตือน!\pมีไฟล์เกมอื่น
บันทึกอยู่แล้ว\pหากบันทึกตอนนี้ การผจญภัย
ของไฟล์เดิม รวมถึงไอเทมและ\lโปเกมอนจะหายไปทั้งหมด\pต้องการบันทึกทับ
ไฟล์เดิมหรือไม่?",STANDARD_MESSAGE_BOX,Trigger each prompt and inspect every page.,,,pending,
10,MAIN_MENU,gText_MysteryEventsCantUse,"MYSTERY EVENTS can't be used while
the Wireless Adapter is attached.","ใช้อีเวนต์ลึกลับไม่ได้
ขณะต่ออะแดปเตอร์ไร้สาย",MAIN_MENU_ERROR,"Trigger save corruption, battery, wireless, and Mystery feature errors.",,,pending,
11,MAIN_MENU,gText_MysteryGiftCantUse,"MYSTERY GIFT can't be used while
the Wireless Adapter is attached.","ใช้ของขวัญลึกลับไม่ได้
ขณะต่ออะแดปเตอร์ไร้สาย",MAIN_MENU_ERROR,"Trigger save corruption, battery, wireless, and Mystery feature errors.",,,pending,
12,MAIN_MENU,gText_PkmnsNickname,{STR_VAR_1}'s nickname?,ตั้งชื่อเล่น?,NAMING_TITLE,"Open player, Pokémon, Box, and Walda naming screens.",,,pending,
13,START_SAVE,gText_PlayerSavedGame,{PLAYER} saved the game.,{PLAYER} บันทึกเกมแล้ว,STANDARD_MESSAGE_BOX,Trigger each prompt and inspect every page.,,,pending,
14,START_SAVE,gText_SafariBallStock,"SAFARI BALLS
Stock: {STR_VAR_1}","SAFARI BALL
เหลือ {STR_VAR_1}",SAFARI_STOCK,Open Start Menu inside Safari Zone.,,,pending,
15,START_SAVE,gText_SaveError,"Save error.\pPlease exchange the
backup memory.","บันทึกผิดพลาด\pโปรดเปลี่ยน
หน่วยความจำสำรอง",STANDARD_MESSAGE_BOX,Trigger each prompt and inspect every page.,,,pending,
16,MAIN_MENU,gText_SaveFileCorrupted,"The save file is corrupted. The
previous save file will be loaded.","ไฟล์บันทึกเสียหาย
จะโหลดไฟล์ก่อนหน้า",MAIN_MENU_ERROR,"Trigger save corruption, battery, wireless, and Mystery feature errors.",,,pending,
